lsoa11cd,lsoa11nm,proportion_male,16_29_rate,30_44_rate,45_64_rate,violence_rate_2015,violence_rate_2016,violence_rate_2017,violence_rate_2018,violence_rate_2019
E01001978,Haringey 011C,0.5147058823529411,0.22616632860040567,0.2682555780933063,0.21805273833671399,40.06085192697769,40.37886340977069,41.5,35.6425702811245,40.7955124936257
E01001979,Haringey 011D,0.500804505229284,0.24577634754625904,0.2739340305711987,0.19871279163314562,41.432019308125504,60.33789219629927,52.28489090160559,61.25897760878749,62.65984654731457
E01001980,Haringey 018A,0.540318686624819,0.22984065668759054,0.29116368903911155,0.20762916465475614,14.485755673587638,22.859922178988324,21.81457610312345,29.030585795749094,26.831785345717233
E01001981,Haringey 018B,0.512348922753547,0.26169206516027327,0.27115081450341566,0.21965317919075145,19.968470835522858,25.257731958762886,20.844189682126107,25.96714361420244,21.98391420911528
E01001982,Haringey 018C,0.5092250922509225,0.19873484449130205,0.29573010015814444,0.2150764364786505,18.977332630469164,29.994643813604714,24.630541871921185,17.448200654307524,13.616557734204793
E01001983,Haringey 018D,0.4867358708189158,0.20069204152249134,0.29123414071510956,0.22260668973471742,24.798154555940023,23.64475201845444,25.473933649289098,15.188335358444714,26.378896882494004
E01001984,Haringey 033A,0.4910112359550562,0.15730337078651685,0.3455056179775281,0.23146067415730337,8.426966292134832,9.950248756218905,15.066964285714286,15.332197614991482,10.227272727272727
E01001985,Haringey 033B,0.49446709376820036,0.1444379732090856,0.31916132789749563,0.2597553873034362,10.483401281304602,11.209439528023598,7.593457943925234,5.78368999421631,8.288928359976317
E01001986,Haringey 034A,0.4970414201183432,0.16449704142011834,0.30828402366863905,0.25976331360946747,8.284023668639053,4.725339633786178,11.029411764705882,6.131207847946046,9.085402786190187
E01001987,Haringey 033C,0.49014238773274915,0.14074479737130338,0.28258488499452356,0.25136911281489593,4.928806133625411,4.390779363336993,7.146783947223749,10.668163952835485,3.4403669724770642
E01001988,Haringey 034B,0.4685746352413019,0.15656565656565657,0.3602693602693603,0.23007856341189675,8.417508417508417,9.599096555618294,9.286128845037725,9.324009324009324,14.05152224824356
E01001989,Haringey 033D,0.46795580110497237,0.15193370165745856,0.2718232044198895,0.269060773480663,8.839779005524862,15.774647887323942,22.58610954263128,9.863013698630137,16.949152542372882
E01001990,Haringey 034C,0.5136221527467619,0.2492184010719071,0.38320678874497544,0.1880303707012059,24.56453774006253,25.503355704697984,29.773156899810964,33.56973995271868,33.65384615384615
E01001991,Haringey 017A,0.4639666468135795,0.19118522930315665,0.2936271590232281,0.2120309708159619,9.529481834425255,11.242603550295858,12.827988338192421,14.021312394840157,11.217049915872126
E01001992,Haringey 017B,0.5047974413646056,0.13805970149253732,0.21641791044776118,0.27611940298507465,3.7313432835820897,7.3568050446663165,4.699738903394256,7.861635220125786,7.2954663887441376
E01001993,Haringey 017C,0.48760330578512395,0.13105076741440377,0.17650531286894924,0.31759149940968123,2.9515938606847696,5.813953488372093,4.110393423370522,8.144269924374637,3.5608308605341246
E01001994,Haringey 030A,0.47854785478547857,0.17216721672167218,0.2755775577557756,0.22662266226622663,7.700770077007701,9.095773140716961,11.122881355932202,12.841987716359576,14.925373134328359
E01001995,Haringey 017D,0.46272098385857036,0.1740968485780169,0.24980784012298232,0.24596464258262873,16.910069177555727,13.10717039321511,17.891130567186906,15.819209039548022,20.6794682422452
