lsoa,employ_score,edu_score,health_score,income_score,enviroment_score
E01026973,0.121,36.76,0.579,0.129,8.237
E01026974,0.092,24.22,-0.099,0.078,6.022
E01026975,0.188,50.717,0.987,0.237,15.346
E01026976,0.179,38.62,1.014,0.223,7.457
E01026977,0.083,10.427,-0.44,0.077,7.935
E01026978,0.083,16.767,0.092,0.083,6.971
E01026979,0.078,4.863,-0.007,0.081,14.379
E01026980,0.065,5.846,-0.412,0.069,6.212
E01026981,0.097,27.329,0.512,0.1,6.688
E01026982,0.141,40.863,0.593,0.21,7.803
E01026983,0.156,51.535,0.63,0.192,9.766
E01026984,0.167,47.618,0.811,0.166,13.432
E01026985,0.118,29.687,0.098,0.106,8.8
E01026986,0.083,42.324,-0.454,0.115,4.88
E01026987,0.077,26.885,-0.42,0.088,5.32
E01026988,0.162,58.66,-0.064,0.208,14.965
E01026989,0.096,23.74,-0.594,0.127,2.75
E01026990,0.061,11.91,-0.835,0.073,2.427
E01026991,0.082,16.291,-0.293,0.066,10.302
E01026992,0.203,29.278,0.571,0.225,23.498
E01026993,0.066,5.828,-0.555,0.052,14.151
E01026994,0.053,6.968,-0.668,0.072,27.921
E01026997,0.058,6.009,-0.709,0.049,7.812
E01026998,0.033,3.764,-1.432,0.032,36.276
E01026999,0.093,16.973,-0.398,0.092,23.708
E01027000,0.076,15.694,-0.368,0.115,9.059
E01027001,0.026,3.376,-1.19,0.023,2.184
E01027002,0.039,5.146,-1.541,0.036,16.628
E01027003,0.057,12.931,-0.474,0.081,5.515
E01027004,0.067,9.659,-0.981,0.059,32.259
E01027005,0.043,4.315,-1.445,0.057,29.397
E01027006,0.05,4.65,-0.957,0.062,22.248
E01027007,0.134,48.443,0.059,0.175,8.458
E01027008,0.068,19.481,-0.926,0.067,8.499
E01027009,0.163,56.533,0.498,0.202,11.334
E01027010,0.077,24.47,-0.487,0.071,10.208
E01027011,0.042,7.715,-0.844,0.058,37.671
E01027012,0.165,45.061,-0.245,0.167,8.435
E01027013,0.258,80.238,0.885,0.333,5.976
E01027014,0.046,11.549,-1.1,0.065,2.87
E01027015,0.049,6.713,-1.05,0.041,5.245
E01027016,0.055,4.474,-0.93,0.045,18.821
E01027017,0.112,35.513,0.16,0.142,20.711
E01027018,0.042,7.147,-1.057,0.034,14.92
E01027019,0.08,13.529,-0.591,0.098,12.161
E01027020,0.048,7.991,-0.668,0.053,12.676
E01027021,0.033,2.928,-1.311,0.043,21.382
E01027022,0.054,8.123,-1.241,0.073,9.9
E01027023,0.061,7.601,-1.041,0.083,8.636
E01027024,0.043,11.159,-1.055,0.036,27.21
E01027025,0.111,25.24,-0.233,0.123,12.967
E01027026,0.037,3.69,-1.009,0.031,35.072
E01027027,0.049,2.957,-1.214,0.054,23.454
E01027028,0.06,10.268,-0.857,0.07,21.408
E01027029,0.094,32.767,-0.312,0.121,7.284
E01027030,0.057,6.253,-0.632,0.057,33.173
E01027031,0.041,5.422,-1.058,0.053,29.842
E01027032,0.065,8.136,-0.727,0.082,44.782
E01027033,0.073,17.92,-0.717,0.092,13.354
E01027034,0.095,28.81,0.196,0.138,8.473
E01027035,0.156,37.602,0.437,0.185,20.319
E01027037,0.041,9.614,-0.701,0.045,9.512
E01027038,0.171,38.058,0.047,0.206,7.24
E01027039,0.106,20.311,0.021,0.132,20.55
E01027040,0.076,14.12,-0.455,0.093,6.135
E01027041,0.179,41.47,0.595,0.23,16.2
E01027042,0.059,13.816,-0.982,0.052,1.085
E01027043,0.061,7.718,-0.868,0.07,28.09
E01027044,0.048,5.546,-1.283,0.046,36.686
E01027045,0.082,9.05,-0.649,0.075,23.234
E01027046,0.04,4.676,-1.114,0.04,1.453
E01027047,0.11,22.336,0.264,0.103,12.424
E01027048,0.044,15.237,-0.749,0.043,13.456
E01027049,0.043,3.885,-0.619,0.045,10.485
E01027050,0.055,9.33,-1.157,0.07,29.256
E01027051,0.098,22.521,-0.105,0.159,19.113
E01027052,0.059,13.212,-0.385,0.067,2.382
E01027053,0.064,9.996,-0.939,0.072,8.437
E01027054,0.07,21.855,-0.228,0.063,4.761
E01027055,0.063,27.673,-0.121,0.079,4.639
E01027056,0.161,46.077,0.385,0.183,7.304
